OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,pct_house_lack_plumb,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_employ_agr_for_fis,pct_employ_arts,pct_employ_retail,pct_poverty,pct_house_snap
578,15000US230099657002,1368,221,257,49.7,42500.0,0.20669291338582677,0.43570767767279583,0.35430157229019277,0.0027752081380432855,42500.0,0.41803278619994627,0.10312075969725813,0.6214165256143199,0.06959152788261494,0.16187594529216953,0.17851739761192528,0.19663742675684398,0.14262295058586402
579,15000US230099665003,885,134,302,55.1,65500.0,0.15555555555555556,0.5667396055068494,0.5306345727235946,0.003282275707568626,65500.0,0.5075757562940006,0.0465686273368416,0.5319426329440122,0.11311053955498576,0.06169665793908314,0.15167095076691273,0.05762711857895241,0.0707070705285175
580,15000US230179666001,1596,242,393,48.8,43409.0,0.25504587155963304,0.3838678324743752,0.3032069967898863,0.0038872691896139266,43409.0,0.44321766491606046,0.11833550049631274,0.5600873994464038,0.05604719755745251,0.09882005885129785,0.17109144517538136,0.18287186079660536,0.19558359590601956
581,15000US230190006003,767,32,155,46.7,24777.0,0.3357142857142857,0.2305986691117546,0.0,0.0,24777.0,0.34582132465181176,0.2062780264433228,0.6102150529432593,0.0,0.2966101686536436,0.05084745748348176,0.36566186059546285,0.29106628158194153
582,15000US230190140001,973,231,229,42.9,43523.0,0.329153605015674,0.15180265625843897,0.07969639453568046,0.0,43523.0,0.39597315347657014,0.03734439826277096,0.6495956864560705,0.09051724118423009,0.0,0.07543103432019174,0.11204188469943258,0.09619686779374302
583,15000US230190150002,1057,281,117,39.9,48324.0,0.6839080459770115,0.1802197798236928,0.11648351622750876,0.05494505482429658,48324.0,0.5201072372115088,0.15587044502860234,0.5916167657585428,0.08153477198672716,0.04076738599336358,0.32613908794690866,0.11352885514330287,0.28418230486814394
584,15000US230190003001,2133,360,384,41.2,47620.0,0.02476780185758514,0.141806722540119,0.02205882350624073,0.0,47620.0,0.3525091794950928,0.03827751192509329,0.5814467142012995,0.00497512437315908,0.1303482585767679,0.13930348244845425,0.10186199337247426,0.04161566702372623
585,15000US230190020003,1392,289,190,38.7,58323.0,0.17422434367541767,0.05940594051003403,0.05940594051003403,0.0,58323.0,0.2586466161524111,0.05710306398732164,0.6216450211068008,0.0,0.09748892156944029,0.11078286541981852,0.11781609186938498,0.0842105261891571
586,15000US230190030003,706,119,109,49.5,65714.0,0.07342657342657342,0.12222222188271605,0.03333333324074074,0.0,65714.0,0.25632911311288253,0.02144772112212407,0.6338259431300066,0.0,0.0,0.06575342447738788,0.031161473043680634,0.06962025294423971
587,15000US230190020005,2604,656,193,39.2,90694.0,0.0580964153275649,0.044444444395061726,0.0,0.0,90694.0,0.12325581381016766,0.04826254823149128,0.764387604149342,0.00811359025820582,0.09871534814150415,0.05003380659226923,0.010752688167913714,0.04651162785289346
