OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_poverty
119,15000US230159756005,37,0,5,54.3,22188.0,0.0,0.8633879734241094,0.5737704886679208,22188.0,0.19999999200000032,0.0,0.6756756574141715,0.24324323666910172
120,15000US230159762001,1172,201,304,52.6,40625.0,0.12832929782082325,0.42374616128582787,0.22824974388101357,40625.0,0.4404973349191877,0.06451612891663776,0.5527093590613701,0.09106830114617485
121,15000US230079711001,1405,263,242,45.3,37000.0,0.3254901960784314,0.32429378494430083,0.28813559289476204,37000.0,0.4548494975671413,0.1255230123772343,0.5984974953267967,0.16370106749914515
122,15000US230079710003,734,145,111,47.3,47232.0,0.30656934306569344,0.38065843543074396,0.3395061721409338,47232.0,0.3388704307678723,0.11111111083052749,0.6655462173688299,0.11307901891951087
123,15000US230079713002,1526,338,251,41.0,30139.0,0.41745283018867924,0.13728323679583349,0.11127167613978081,30139.0,0.5929648231273621,0.06953642372593308,0.5094494654811426,0.3361730010903191
124,15000US230079714002,440,58,150,50.6,44637.0,0.2681564245810056,0.0,0.0,44637.0,0.5572139275760501,0.0,0.5523560194964502,0.036363636280991735
125,15000US230079701021,142,0,42,59.4,46250.0,0.06666666666666667,0.8894878694211754,0.8517520204154285,46250.0,0.5487804811124332,0.1325301188851793,0.5845070381372743,0.03521126735766713
126,15000US230079706022,924,167,192,47.1,40192.0,0.5373563218390804,0.5983606551246304,0.5235655732340516,40192.0,0.39540816225661185,0.1009389668992043,0.5426751585443629,0.11796536783769981
127,15000US230079712004,1879,512,509,40.6,32723.0,0.39711934156378603,0.13289473666724377,0.06315789465373961,32723.0,0.41122913442909087,0.08723747966520601,0.43015983291858245,0.5438175266843832
128,15000US230079711002,1541,329,159,43.6,42353.0,0.3403041825095057,0.09677419339973242,0.05376344077762912,42353.0,0.29081632603602664,0.08417508408061158,0.6988235288636677,0.14107611539299467
129,15000US230079710001,1240,285,168,47.2,43929.0,0.40748898678414097,0.24617524305121663,0.19610570209164715,43929.0,0.2915129145913046,0.03244837753326198,0.6869300904894325,0.12671509271451564
130,15000US230079701011,1588,359,255,44.1,37083.0,0.2564575645756458,0.4283290920879312,0.3740458012094607,37083.0,0.38427299646250296,0.0814639904587202,0.6465648850026222,0.09319899238463539
131,15000US230079710002,1266,237,264,44.4,37969.0,0.3874709976798144,0.24431818147113896,0.18323863610335422,37969.0,0.42105263078749505,0.08208955211628426,0.6423777558558218,0.08406725373573477
132,15000US230079706011,562,139,93,50.9,43125.0,0.04040404040404041,0.7998489419940717,0.7560422955014786,43125.0,0.3245283006621574,0.050724637497374506,0.6436781594398203,0.10142348736401514
133,15000US230079712005,1837,221,173,21.6,51023.0,0.0,0.07211538449981508,0.0,51023.0,0.15198618281176826,0.04670329666052811,0.665853658130577,0.209394904291883
134,15000US230079712002,2452,261,308,31.8,26938.0,0.2707641196013289,0.20142180078876634,0.07109004733721165,26938.0,0.2640949552283927,0.03774834434586202,0.666078517571205,0.19090909081774685
135,15000US230079712003,876,211,116,43.3,80515.0,0.0,0.13243243207450694,0.13243243207450694,80515.0,0.361370715385138,0.0,0.7496382044144165,0.016317016297998817
136,15000US230079714004,1394,358,148,35.9,42056.0,0.505586592178771,0.06496062979338459,0.0,42056.0,0.29052631517783933,0.1198786037634619,0.6361003854863895,0.183035714149527
137,15000US230079714001,2120,714,234,30.7,51129.0,0.36869565217391304,0.16256157615448083,0.092364531905955,51129.0,0.3397058818533737,0.01733477787937727,0.6495425751938475,0.017452830180446778
138,15000US230079713003,898,277,71,44.5,39531.0,0.6707818930041153,0.21361502297273469,0.03521126752297825,39531.0,0.2716417902339051,0.15443037935587245,0.5930930922025629,0.21269487726871394
139,15000US230079713001,1700,270,270,45.7,43750.0,0.2650375939849624,0.19978517701419424,0.07841031140879666,43750.0,0.3114093955551552,0.1377649324298989,0.7203331015126071,0.18496420036696645
