OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_employ_agr_for_fis,pct_employ_arts,pct_employ_retail,pct_poverty,pct_house_snap
624,15000US230310200001,2216,654,269,,47462.0,0.18585526315789475,0.14445574756413454,0.08748728373602514,47462.0,0.200951248274731,0.07621440529630284,0.7031802116000117,0.0,0.07615593828091029,0.1423390751202728,0.2057761731923393,0.23305588557306078
625,15000US230310200003,1367,155,219,,86484.0,0.06340579710144928,0.0,0.0,86484.0,0.33743409431030913,0.017057569278190226,0.7711726378084912,0.0,0.11496746191435199,0.15401301501733947,0.0021945866845687,0.0
626,15000US230099654003,554,82,92,48.0,44167.0,0.271356783919598,0.08730158695515243,0.03571428557256236,44167.0,0.29565217262759924,0.10169491490950876,0.5750487318225171,0.0,0.06415094315414739,0.07924528271982913,0.13176895283074197,0.06956521708884689
627,15000US230099658002,450,50,62,,38789.0,0.30601092896174864,0.5424954782233354,0.41772151823196835,38789.0,0.252964425877611,0.07258064486862643,0.6339066323491238,0.08260869529300567,0.060869564952741026,0.09999999956521739,0.13777777747160494,0.12252964378446782
628,15000US230099661002,639,121,133,,38750.0,0.1553784860557769,0.6187050352293705,0.5455635485065186,38750.0,0.33018867820695386,0.06027397243760556,0.6517857131218112,0.0932944603694039,0.0524781339577897,0.0524781339577897,0.1502347415489284,0.0628930815632293
629,15000US230099655032,1532,380,247,,42355.0,0.2724795640326976,0.11567732098070423,0.07762557065810416,42355.0,0.21686746950625221,0.13084112132063935,0.6288832908237755,0.0,0.06451612893315495,0.20890936987878744,0.0782669461367806,0.11531841632475316
630,15000US230310061013,703,121,216,45.0,61333.0,0.0,0.6458569799706504,0.5573212252470815,61333.0,0.4999999983974359,0.10826210795366921,0.6030927824689127,0.0,0.0702875397115414,0.12460063857955067,0.0,0.1314102559890697
631,15000US230310061022,642,15,90,,39167.0,0.0,0.6777493597471236,0.6445012779482081,39167.0,0.2658730148179642,0.30588235222145327,0.6778309399077657,0.0,0.05084745745475438,0.05084745745475438,0.2757009341499985,0.388888887345679
632,15000US230310200002,2740,657,323,,65432.0,0.10775862068965517,0.015296367098187028,0.0,65432.0,0.2407766987953624,0.07207207202569364,0.7231270354941243,0.06449375862379073,0.05339805821539663,0.2045769762797663,0.21883045229171372,0.15631067945989252
633,15000US230310200004,1729,329,185,44.0,49135.0,0.09135399673735727,0.045566502406937805,0.0,49135.0,0.19354838684703435,0.08543689312093504,0.7248088945623287,0.0,0.0891719744276306,0.1464968151311074,0.08444187386671956,0.07483870958085327
634,15000US230310225001,1482,351,218,,45769.0,0.14318706697459585,0.1348973605060156,0.06011730196463739,45769.0,0.32542372826199367,0.0799999998967742,0.637860081779539,0.05890603077292282,0.08134642344832199,0.17391304323434356,0.1415030466205125,0.23050847418557885
635,15000US230310245001,2199,440,250,,76027.0,0.05491329479768786,0.009987515593024325,0.009987515593024325,76027.0,0.2118537197832866,0.0809968846721208,0.7157190631461989,0.01779661015440965,0.07203389824403907,0.09830508466245332,0.0859481582146666,0.08953341728936517
636,15000US230310370003,2704,575,282,,87917.0,0.07905982905982906,0.03993055552089361,0.0,87917.0,0.32188065070354366,0.04462602134215837,0.7472992011520436,0.03421052629328255,0.05131578943992382,0.12894736833621884,0.07581360943941805,0.076853526151127
637,15000US230310370002,1509,295,146,,81833.0,0.0,0.04878048773051755,0.0,81833.0,0.23878205089938773,0.015801354383971383,0.715670435609313,0.024082568779721824,0.027522935748253513,0.14678899065735207,0.05235255132382203,0.0528846152998644
638,15000US230310370001,2011,453,330,,69451.0,0.01925925925925926,0.042334096061402635,0.013729977100995449,69451.0,0.2293906807295213,0.07501875463239403,0.8187960682931228,0.017031630156503136,0.09489051087194605,0.1338199512296675,0.01889607159676973,0.03823178012158688
639,15000US230310210003,1246,296,196,,70540.0,0.04470588235294118,0.04025423720285119,0.029661016886311405,70540.0,0.43929359726425254,0.07478005854137822,0.7096774186163607,0.0380348652329083,0.033280507078794756,0.18700475406179912,0.016921837214406255,0.06401765990283077
640,15000US230310210002,1528,348,195,,69063.0,0.08057851239669421,0.052188552100692676,0.052188552100692676,69063.0,0.29129662470462414,0.027710843340107417,0.6899418115628081,0.011152416343057725,0.07187112754414977,0.06443618331544464,0.07657068057816055,0.13676731769668327
