OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,med_income,pct_w_ss_income,pct_poverty
638,15000US230110160002,1274,344,160,37.1,56336.0,0.03764705882352941,0.2322775260448303,0.16289592735611474,56336.0,0.30844793652564256,0.2629513341735076
639,15000US230110160001,1107,302,206,43.3,68077.0,0.10485933503836317,0.5597883591959911,0.49947089894235885,68077.0,0.4615384604289941,0.02168021678258336
640,15000US230110160003,787,131,79,48.3,41534.0,0.14767932489451477,0.3636363629017447,0.3131313124987246,41534.0,0.29206349113630636,0.14993646740795874
641,15000US230110220001,926,206,171,43.3,44545.0,0.24838709677419354,0.042183622724110116,0.0,44545.0,0.36787564671534806,0.1243184295263703
642,15000US230010465003,2420,580,382,46.0,47481.0,0.39735894357743096,0.0,0.0,47481.0,0.3462717054685682,0.06348530035641871
643,15000US230010103001,832,235,71,34.6,26813.0,0.0,0.15644820262907358,0.0,26813.0,0.17794486170941137,0.38701923030406343
644,15000US230010106002,2008,303,367,48.9,58411.0,0.2140077821011673,0.0,0.0,58411.0,0.30786026167264163,0.0657370517600911
645,15000US230139708004,910,111,256,49.5,47321.0,0.14095744680851063,0.3472022950542291,0.23959827799196803,47321.0,0.4087912078927666,0.07555555547160493
646,15000US230139708002,651,124,98,43.5,55833.0,0.048458149779735685,0.35516372706507876,0.2821158683070129,55833.0,0.2929687488555908,0.10138248832352921
647,15000US230139706002,957,189,240,37.3,27455.0,0.4016393442622951,0.07058823512802768,0.0,27455.0,0.38734177117128665,0.18452380930413834
648,15000US230139706001,437,0,62,48.5,38750.0,0.09345794392523364,0.28239202563989363,0.0,38750.0,0.18518518432784636,0.22654462190722055
649,15000US230139706003,488,50,62,38.4,36667.0,0.26174496644295303,0.19480519417271042,0.0,36667.0,0.21370967655762227,0.09426229488880677
650,15000US230139707001,1361,211,250,47.8,44861.0,0.11812627291242363,0.06329113914036212,0.06329113914036212,44861.0,0.31587837784480005,0.09478324754240759
651,15000US230050006002,757,43,158,43.5,11434.0,0.0,0.0,0.0,11434.0,0.35294117556792537,0.5495376478870044
